timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
2	0	0	0	0
4	5547	2773	66043	33021
6	4978	2489	56806	28403
8	5070	2535	66002	33001
10	5470	2735	69589	34794
12	4946	2473	56184	28092
14	5615	2807	69001	34500
16	5676	2838	67086	33543
18	5227	2613	63870	31935
20	5313	2656	64473	32236
22	5389	2694	66342	33171
24	5151	2575	65096	32548
26	5549	2774	69483	34741
28	5185	2592	60796	30398
30	5497	2748	68042	34021
32	4992	2496	62264	31132
34	5282	2641	66536	33268
36	5675	2837	68603	34301
38	5176	2588	65179	32589
40	5053	2526	62430	31215
42	5603	2801	67422	33711
44	5938	2969	74415	37207
46	4835	2417	57573	28786
48	5300	2650	65231	32615
50	5690	2845	68809	34404
52	5365	2682	68036	34018
54	5246	2623	62362	31181
56	5120	2560	58841	29420
58	5612	2806	70255	35127
60	5545	2772	66358	33179
62	4978	2489	60813	30406
64	5262	2631	65310	32655
66	5629	2814	66830	33415
68	5576	2788	67983	33991
70	5524	2762	68250	34125
72	5053	2526	59028	29514
74	5397	2698	66558	33279
76	5242	2621	66927	33463
78	5507	2753	66391	33195
80	5204	2602	64199	32099
82	5521	2760	68535	34267
84	5400	2700	67017	33508
86	5386	2693	66136	33068
88	5174	2587	63839	31919
90	5298	2649	67780	33890
92	5490	2745	66080	33040
94	5312	2656	67496	33748
96	5170	2585	60917	30458
98	5614	2807	69707	34853
100	5479	2739	65577	32788
102	5505	2752	67113	33556
104	4973	2486	61863	30931
106	5501	2750	68530	34265
108	5630	2815	66165	33082
110	5201	2600	64615	32307
112	5645	2822	67101	33550
114	5577	2788	68312	34156
116	5666	2833	67459	33729
118	5026	2513	60989	30494
120	5516	2758	68655	34327
122	5596	2798	68463	34231
124	5425	2712	66980	33490
126	5345	2672	62414	31207
128	5571	2785	68711	34355
130	5378	2689	66106	33053
132	5345	2672	65719	32859
134	5154	2577	62670	31335
136	5691	2845	68565	34282
138	5370	2685	66588	33294
140	5462	2731	67881	33940
142	5093	2546	61585	30792
144	4944	2472	61837	30918
146	5590	2795	69763	34881
148	5496	2748	63524	31762
150	5019	2509	62212	31106
152	5437	2718	67359	33679
154	659	329	8558	4279
156	3386	1693	41033	20516
158	5082	2541	62538	31269
160	5203	2601	64076	32038
162	5541	2770	66392	33196
164	678	339	8210	4105
166	4622	2311	55284	27642
168	5546	2773	67181	33590
170	5237	2618	63781	31890
172	5532	2766	67560	33780
174	5307	2653	66524	33262
176	5452	2726	66422	33211
178	5162	2581	63427	31713
180	5871	2935	68480	34240
182	5349	2674	66493	33246
184	5641	2820	66910	33455
186	5317	2658	64258	32129
188	5397	2698	66419	33209
190	5478	2739	66593	33296
192	5391	2695	65964	32982
194	1322	661	16186	8093
196	5538	2769	67310	33655
198	5479	2739	68267	34133
200	5562	2781	66880	33440
202	4731	2365	58711	29355
204	1692	846	21514	10757
206	5508	2754	70366	35183
208	5522	2761	66130	33065
210	5534	2767	67513	33756
212	5143	2571	64242	32121
214	5146	2573	62988	31494
216	5665	2832	70729	35364
218	5460	2730	64461	32230
220	5307	2653	65327	32663
222	5624	2812	67884	33942
224	5514	2757	66092	33046
226	5327	2663	64438	32219
228	5266	2633	63807	31903
230	5401	2700	67841	33920
232	5535	2767	67584	33792
234	1723	861	19586	9793
236	5102	2551	65449	32724
238	5488	2744	68105	34052
240	5395	2697	65266	32633
242	5314	2657	67416	33708
244	5151	2575	62704	31352
246	5542	2771	69598	34799
248	5310	2655	65734	32867
250	5325	2662	64876	32438
252	5162	2581	63058	31529
254	1992	996	23234	11617
256	5444	2722	67815	33907
258	5519	2759	68416	34208
260	5296	2648	65805	32902
262	5289	2644	64033	32016
264	1850	925	23952	11976
266	5446	2723	68248	34124
268	5677	2838	66675	33337
270	4702	2351	58619	29309
272	5436	2718	67490	33745
274	5314	2657	66508	33254
276	5622	2811	68077	34038
278	5248	2624	62485	31242
280	5564	2782	66756	33378
282	5423	2711	68043	34021
284	5465	2732	67914	33957
286	5127	2563	63138	31569
288	5527	2763	68108	34054
290	5407	2703	66940	33470
292	5357	2678	66579	33289
294	1979	989	26124	13062
296	5185	2592	63747	31873
298	5429	2714	66906	33453
300	5601	2800	67363	33681
302	5156	2578	62893	31446
304	5685	2842	67025	33512
306	5728	2864	68581	34290
308	5399	2699	66257	33128
310	5197	2598	62647	31323
312	5408	2704	67178	33589
314	5322	2661	65697	32848
316	5840	2920	68596	34298
318	5252	2626	63717	31858
320	5377	2688	66419	33209
322	5488	2744	68418	34209
324	5718	2859	66901	33450
326	4889	2444	63733	31866
328	5656	2828	67059	33529
330	5471	2735	67376	33688
332	5572	2786	65707	32853
334	4816	2408	62452	31226
336	5491	2745	66923	33461
338	5617	2808	68949	34474
340	5353	2676	65982	32991
342	5269	2634	63523	31761
344	5340	2670	68725	34362
346	5332	2666	64635	32317
348	5304	2652	66666	33333
350	5328	2664	64783	32391
352	5357	2678	66561	33280
354	5715	2857	68888	34444
356	5375	2687	64608	32304
358	5039	2519	60938	30469
360	5522	2761	68409	34204
362	5693	2846	68612	34306
364	5256	2628	64991	32495
366	5129	2564	64446	32223
368	5515	2757	66339	33169
370	5360	2680	68601	34300
372	5273	2636	62192	31096
374	5371	2685	67300	33650
376	5008	2504	61811	30905
378	5148	2574	65199	32599
380	4962	2481	62078	31039
382	5394	2697	69038	34519
384	1687	843	19264	9632
386	5511	2755	68697	34348
388	5350	2675	67475	33737
390	5300	2650	60726	30363
392	5447	2723	68945	34472
394	5597	2798	67711	33855
396	5534	2767	69210	34605
398	5047	2523	61307	30653
400	5475	2737	67646	33823
402	5463	2731	67397	33698
404	5426	2713	67224	33612
406	5341	2670	63211	31605
408	5332	2666	67251	33625
410	5569	2784	65700	32850
412	5503	2751	66762	33381
414	1845	922	21630	10815
416	5532	2766	69602	34801
418	5466	2733	65442	32721
420	5526	2763	67845	33922
422	5111	2555	60631	30315
424	2081	1040	22349	11174
426	5501	2750	71871	35935
428	5632	2816	68271	34135
430	5437	2718	65592	32796
432	5362	2681	65597	32798
434	5594	2797	67504	33752
436	5533	2766	66329	33164
438	5380	2690	64872	32436
440	5051	2525	61862	30931
442	5598	2799	67094	33547
444	5446	2723	67098	33549
446	5090	2545	62525	31262
448	5405	2702	67149	33574
450	5638	2819	67131	33565
452	5378	2689	64852	32426
