timeInterval	queriesProcessed	throughput	sysCost	virtualThroughput
2	0	0	0	0
4	1697	848	20506	10253
6	1376	688	16259	8129
8	1376	688	17273	8636
10	1556	778	20433	10216
12	1162	581	13785	6892
14	1464	732	17260	8630
16	1536	768	17941	8970
18	1256	628	16252	8126
20	1370	685	16136	8068
22	1462	731	17172	8586
24	1274	637	16174	8087
26	1476	738	18179	9089
28	1337	668	15363	7681
30	1476	738	17820	8910
32	1335	667	15776	7888
34	1398	699	17490	8745
36	1368	684	17246	8623
38	1465	732	19048	9524
40	1288	644	15839	7919
42	1410	705	17555	8777
44	1563	781	18780	9390
46	1315	657	15028	7514
48	1376	688	16938	8469
50	1430	715	16995	8497
52	1412	706	18427	9213
54	1347	673	16100	8050
56	1364	682	15165	7582
58	1347	673	16663	8331
60	1414	707	17272	8636
62	1382	691	16565	8282
64	1383	691	16783	8391
66	1313	656	15910	7955
68	1451	725	17234	8617
70	1539	769	18306	9153
72	1340	670	15221	7610
74	1488	744	17869	8934
76	1325	662	16968	8484
78	1416	708	16982	8491
80	1334	667	16347	8173
82	1481	740	17851	8925
84	1434	717	18493	9246
86	1373	686	16059	8029
88	1336	668	16460	8230
90	1401	700	17122	8561
92	1448	724	16322	8161
94	1271	635	16847	8423
96	1347	673	16107	8053
98	1435	717	18581	9290
100	1473	736	17466	8733
102	1451	725	17117	8558
104	1225	612	14972	7486
106	1405	702	17566	8783
108	1431	715	16568	8284
110	1407	703	17466	8733
112	1554	777	18531	9265
114	1444	722	17576	8788
116	1514	757	17651	8825
118	1333	666	15914	7957
120	1391	695	17763	8881
122	1449	724	17459	8729
124	1584	792	19695	9847
126	1427	713	17252	8626
128	1409	704	17778	8889
130	1263	631	15838	7919
132	1404	702	16170	8085
134	1325	662	15902	7951
136	1462	731	17366	8683
138	1470	735	18210	9105
140	1430	715	17833	8916
142	1305	652	16231	8115
144	1353	676	16494	8247
146	1448	724	18306	9153
148	1497	748	16516	8258
150	1249	624	16510	8255
152	1420	710	17571	8785
154	162	81	2151	1075
156	965	482	11574	5787
158	1283	641	15271	7635
160	1295	647	16050	8025
162	1454	727	17110	8555
164	130	65	1752	876
166	1178	589	13267	6633
168	1420	710	17443	8721
170	1290	645	15500	7750
172	1597	798	19427	9713
174	1398	699	18129	9064
176	1386	693	16679	8339
178	1414	707	17494	8747
180	1450	725	17574	8787
182	1487	743	18944	9472
184	1481	740	17663	8831
186	1389	694	16401	8200
188	1349	674	16760	8380
190	1400	700	17380	8690
192	1427	713	17555	8777
194	325	162	4256	2128
196	1360	680	16595	8297
198	1340	670	16140	8070
200	1469	734	17710	8855
202	1242	621	15388	7694
204	380	190	5170	2585
206	1455	727	19106	9553
208	1418	709	16450	8225
210	1447	723	17284	8642
212	1276	638	15588	7794
214	1290	645	16352	8176
216	1496	748	18810	9405
218	1305	652	14928	7464
220	1357	678	17037	8518
222	1489	744	18684	9342
224	1409	704	16849	8424
